Title,Prices,Item_url,Image_url,Category
Norflex Dual Full Suspension Mountain Bike Foldable Bicycle 24 Speed Black Red,$40.40,https://www.ebay.com/itm/334081292172?hash=item4dc8cbf78c:g:u4UAAOSwSpFgsS5M,https://i.ebayimg.com/thumbs/images/g/u4UAAOSwSpFgsS5M/s-l225.jpg,Bicycle
amazing road bike,$305.00,https://www.ebay.com/itm/384286337658?hash=item5979402a7a:g:9pAAAOSw515g9DZg,https://i.ebayimg.com/thumbs/images/g/9pAAAOSw515g9DZg/s-l225.jpg,Bicycle
"26"" Mountain Bike 17"" Frame 21 Speed MTB Bicycle Authentic SHIMANO Accessories",$40.36,https://www.ebay.com/itm/403003010274?hash=item5dd4d9ece2:g:2x0AAOSwOMhgwwRb,https://i.ebayimg.com/thumbs/images/g/2x0AAOSwOMhgwwRb/s-l225.jpg,Bicycle
New ListingGT R series four road bicycle,$0.99,https://www.ebay.com/itm/353581742372?hash=item52531d3924:g:FSsAAOSwpzhg9hts,https://i.ebayimg.com/thumbs/images/g/FSsAAOSwpzhg9hts/s-l225.jpg,Bicycle
Reduced mens Challenge Road Bike discount!,$204.17,https://www.ebay.com/itm/313603278907?hash=item490436483b:g:8p0AAOSw7nlg6wzX,https://i.ebayimg.com/thumbs/images/g/8p0AAOSw7nlg6wzX/s-l225.jpg,Bicycle
Martelly Bicycle frame XXL,$146.35,https://www.ebay.com/itm/255054587454?hash=item3b6270263e:g:~QEAAOSwdrdg7-ym,https://i.ebayimg.com/thumbs/images/g/~QEAAOSwdrdg7-ym/s-l225.jpg,Bicycle
Camping Survivals 26-Inch 21-Speed Folding Mountain Bike Black,$41.68,https://www.ebay.com/itm/363469256637?hash=item54a074b7bd:g:XZkAAOSwkC9g6UdD,https://i.ebayimg.com/thumbs/images/g/XZkAAOSwkC9g6UdD/s-l225.jpg,Bicycle
"New ListingEasytry MOUNTAIN BIKE X-Large 29 "" Wheel 19"" Frame 21 SPEED Disc Brake Shimano",$41.26,https://www.ebay.com/itm/353582007117?hash=item525321434d:g:f~wAAOSw7ltgwIK~,https://i.ebayimg.com/thumbs/images/g/f~wAAOSw7ltgwIK~/s-l225.jpg,Bicycle
Giant Downhill Mountain Bike frame,$612.52,https://www.ebay.com/itm/164950370355?hash=item2667cee833:g:3yQAAOSwemVg1M18,https://i.ebayimg.com/thumbs/images/g/3yQAAOSwemVg1M18/s-l225.jpg,Bicycle
lowrider bicycle,$680.58,https://www.ebay.com/itm/255059675593?hash=item3b62bdc9c9:g:EakAAOSwOzhg9ekd,https://i.ebayimg.com/thumbs/images/g/EakAAOSwOzhg9ekd/s-l225.jpg,Bicycle
Cannondale Mens Road Racing Bike,$421.96,https://www.ebay.com/itm/284371066526?hash=item4235d61e9e:g:mgEAAOSwRmFg7p8b,https://i.ebayimg.com/thumbs/images/g/mgEAAOSwRmFg7p8b/s-l225.jpg,Bicycle
New ListingCarlton Cobra Chrome Road Bike 1968,$340.29,https://www.ebay.com/itm/203531144181?hash=item2f6366cbf5:g:IfkAAOSwBGNg9xD5,https://i.ebayimg.com/thumbs/images/g/IfkAAOSwBGNg9xD5/s-l225.jpg,Bicycle
Vitus ZX1 Road Bike Frame,$333.48,https://www.ebay.com/itm/174842058277?hash=item28b5661625:g:YoMAAOSweoNgyQZM,https://i.ebayimg.com/thumbs/images/g/YoMAAOSweoNgyQZM/s-l225.jpg,Bicycle
Bicycle Scott Scale 960 Mountain Bike,$490.01,https://www.ebay.com/itm/255057399281?hash=item3b629b0df1:g:1FMAAOSwMexg8x7a,https://i.ebayimg.com/thumbs/images/g/1FMAAOSwMexg8x7a/s-l225.jpg,Bicycle
Peugeot Perthus Pro Reynolds 753 vintage road bike bicycle 56cm,$816.69,https://www.ebay.com/itm/224539195532?hash=item344794388c:g:HVoAAOSw6Uxg9HRK,https://i.ebayimg.com/thumbs/images/g/HVoAAOSw6Uxg9HRK/s-l225.jpg,Bicycle
"New Listing26"" Electric Bicycle Conversion Kit E Bike Front Wheel Motor Hub 1000W 48V UK",$201.29,https://www.ebay.com/itm/393455896435?hash=item5b9bcc8773:g:kfQAAOSwfHZg9~wx,https://i.ebayimg.com/thumbs/images/g/kfQAAOSwfHZg9~wx/s-l225.jpg,Bicycle
Townsend Trip Folding Bike,$73.50,https://www.ebay.com/itm/402993142374?hash=item5dd4435a66:g:ysEAAOSwAoRg7xyU,https://i.ebayimg.com/thumbs/images/g/ysEAAOSwAoRg7xyU/s-l225.jpg,Bicycle
"Kent 26"" Bayside Women's Cruiser Bike Rose Gold",$259.99,https://www.ebay.com/itm/144112124471?epid=14031163585&hash=item218dc08237:g:93oAAOSwBTxesUW5,https://i.ebayimg.com/thumbs/images/g/93oAAOSwBTxesUW5/s-l225.jpg,Bicycle
1940's Vintage French Olympic Bicycle WW2 bicycle velo ancien lefol,$265.42,https://www.ebay.com/itm/363473083086?hash=item54a0af1ace:g:8RcAAOSwUTpg1MLa,https://i.ebayimg.com/thumbs/images/g/8RcAAOSwUTpg1MLa/s-l225.jpg,Bicycle
Kent 29 In. Northpoint Men's Mountain Bike Black/Red NEW FREE SHIPPING,$128.64,https://www.ebay.com/itm/174847245420?epid=25047823809&hash=item28b5b53c6c:g:rhgAAOSwHddg9PTE,https://i.ebayimg.com/thumbs/images/g/rhgAAOSwHddg9PTE/s-l225.jpg,Bicycle
Bicycle Kona DELUXE,$365.88,https://www.ebay.com/itm/403006885464?hash=item5dd5150e58:g:2QUAAOSwJ69g3FJu,https://i.ebayimg.com/thumbs/images/g/2QUAAOSwJ69g3FJu/s-l225.jpg,Bicycle
Woom 2 bicycle Sky Blue with freewheel conversion,$325.00,https://www.ebay.com/itm/124815070439?hash=item1d0f8ed4e7:g:mCMAAOSwBYtg8wyB,https://i.ebayimg.com/thumbs/images/g/mCMAAOSwBYtg8wyB/s-l225.jpg,Bicycle
Brand New Cyber 2020 EURO White&Blue Color 27.5 inch 21SP Shimano Mountain bike,$218.79,https://www.ebay.com/itm/183989077488?hash=item2ad69a85f0:g:pn8AAOSwajtgUybp,https://i.ebayimg.com/thumbs/images/g/pn8AAOSwajtgUybp/s-l225.jpg,Bicycle
Specialized Rockhopper Sport 29 Mountain Bike XL,$347.09,https://www.ebay.com/itm/274871928685?hash=item3fffa4c76d:g:a2EAAOSwT0Zg9OU4,https://i.ebayimg.com/thumbs/images/g/a2EAAOSwT0Zg9OU4/s-l225.jpg,Bicycle
Kent 26 In. Northpoint Men's Mountain Bike Black/Blue New Free Shipping,$129.64,https://www.ebay.com/itm/174849520723?epid=7033900712&hash=item28b5d7f453:g:6~QAAOSwPO1g9ua4,https://i.ebayimg.com/thumbs/images/g/6~QAAOSwPO1g9ua4/s-l225.jpg,Bicycle
bicycle,$75.00,https://www.ebay.com/itm/353579420572?hash=item5252f9cb9c:g:sgkAAOSw9OBg86h9,https://i.ebayimg.com/thumbs/images/g/sgkAAOSw9OBg86h9/s-l225.jpg,Bicycle
"26"" City Bike Ladies Vanessa CRYSTAL Dutch Style Vintage Cycle Promotion",$243.65,https://www.ebay.com/itm/144112813252?hash=item218dcb04c4:g:AjQAAOSwfZJg7n1D,https://i.ebayimg.com/thumbs/images/g/AjQAAOSwfZJg7n1D/s-l225.jpg,Bicycle
New ListingDiamondback viper bmx bike,$425.00,https://www.ebay.com/itm/133824582726?hash=item1f28911446:g:CyYAAOSwu69g9xMa,https://i.ebayimg.com/thumbs/images/g/CyYAAOSwu69g9xMa/s-l225.jpg,Bicycle
mens mountain bike hard tail large,$210.98,https://www.ebay.com/itm/353575166955?hash=item5252b8e3eb:g:1KAAAOSwY1Zg73Rt,https://i.ebayimg.com/thumbs/images/g/1KAAAOSwY1Zg73Rt/s-l225.jpg,Bicycle
Red Haro BMX bike.,$200.00,https://www.ebay.com/itm/234085833632?hash=item36809a5ba0:g:hMwAAOSwYZtg63bM,https://i.ebayimg.com/thumbs/images/g/hMwAAOSwYZtg63bM/s-l225.jpg,Bicycle
"Roadmaster 26"" Granite Peak Women's Mountain Bike White",$199.95,https://www.ebay.com/itm/353540976730?epid=15031590087&hash=item5250af305a:g:j0kAAOSwB9hgzujQ,https://i.ebayimg.com/thumbs/images/g/j0kAAOSwB9hgzujQ/s-l225.jpg,Bicycle
